,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
746,746,2019-01-28,LAC,ATL,41,85,0.482,31,58,0.534,10,27,0.37,26,28,0.929,118,44,87,0.506,34,53,0.642,10,34,0.294,25,29,0.862,123,138.8235294117647,141.3793103448276,1500,1500,1500
747,747,2019-01-28,MEM,DEN,35,78,0.449,26,46,0.565,9,32,0.281,13,19,0.684,92,37,84,0.44,29,48,0.604,8,36,0.222,13,14,0.929,95,117.94871794871796,113.09523809523807,1500,1500,1500
748,748,2019-01-29,BRK,CHI,42,94,0.447,32,59,0.542,10,35,0.286,28,40,0.7,122,47,94,0.5,38,66,0.576,9,28,0.321,14,19,0.737,117,129.7872340425532,124.468085106383,1500,1500,1500
749,749,2019-01-29,CLE,WAS,45,84,0.536,30,50,0.6,15,34,0.441,11,24,0.458,116,42,87,0.483,30,51,0.588,12,36,0.333,17,23,0.739,113,138.0952380952381,129.8850574712644,1500,1500,1500
750,750,2019-01-29,DET,MIL,42,89,0.472,30,52,0.577,12,37,0.324,9,12,0.75,105,47,87,0.54,34,55,0.618,13,32,0.406,8,10,0.8,115,117.97752808988764,132.183908045977,1500,1500,1500
751,751,2019-01-29,HOU,NOP,40,101,0.396,21,45,0.467,19,56,0.339,17,24,0.708,116,46,90,0.511,37,59,0.627,9,31,0.29,20,25,0.8,121,114.85148514851484,134.44444444444446,1500,1500,1500
752,752,2019-01-29,LAL,PHI,43,92,0.467,36,69,0.522,7,23,0.304,12,16,0.75,105,42,93,0.452,27,57,0.474,15,36,0.417,22,28,0.786,121,114.13043478260867,130.10752688172042,1500,1500,1500
753,753,2019-01-29,ORL,OKC,44,102,0.431,30,61,0.492,14,41,0.341,15,18,0.833,117,49,91,0.538,40,70,0.571,9,21,0.429,19,26,0.731,126,114.70588235294116,138.46153846153845,1500,1500,1500
754,754,2019-01-29,SAS,PHO,47,100,0.47,32,66,0.485,15,34,0.441,17,20,0.85,126,48,80,0.6,35,51,0.686,13,29,0.448,15,19,0.789,124,126.0,155.0,1500,1500,1500
755,755,2019-01-30,BOS,CHO,50,90,0.556,38,61,0.623,12,29,0.414,14,16,0.875,126,39,89,0.438,26,49,0.531,13,40,0.325,3,7,0.429,94,140.0,105.61797752808988,1500,1500,1500
756,756,2019-01-30,MIA,CHI,34,89,0.382,22,47,0.468,12,42,0.286,9,13,0.692,89,40,78,0.513,32,59,0.542,8,19,0.421,17,21,0.81,105,100.0,134.6153846153846,1500,1500,1500
757,757,2019-01-30,MIN,MEM,37,95,0.389,29,60,0.483,8,35,0.229,17,22,0.773,99,36,87,0.414,30,64,0.469,6,23,0.261,19,22,0.864,97,104.21052631578948,111.49425287356324,1500,1500,1500
758,758,2019-01-30,NOP,DEN,37,89,0.416,22,53,0.415,15,36,0.417,10,13,0.769,99,42,89,0.472,33,59,0.559,9,30,0.3,12,19,0.632,105,111.23595505617978,117.97752808988764,1500,1500,1500
759,759,2019-01-30,NYK,DAL,32,78,0.41,26,52,0.5,6,26,0.231,20,28,0.714,90,45,84,0.536,30,46,0.652,15,38,0.395,9,11,0.818,114,115.38461538461536,135.71428571428572,1500,1500,1500
760,760,2019-01-30,POR,UTA,48,90,0.533,32,58,0.552,16,32,0.5,20,23,0.87,132,38,85,0.447,27,51,0.529,11,34,0.324,18,21,0.857,105,146.66666666666666,123.52941176470588,1500,1500,1500
761,761,2019-01-30,SAC,ATL,54,99,0.545,43,64,0.672,11,35,0.314,16,21,0.762,135,38,86,0.442,22,40,0.55,16,46,0.348,21,25,0.84,113,136.36363636363637,131.3953488372093,1500,1500,1500
762,762,2019-01-30,WAS,IND,41,78,0.526,29,50,0.58,12,28,0.429,13,21,0.619,107,33,84,0.393,24,53,0.453,9,31,0.29,14,18,0.778,89,137.17948717948718,105.95238095238096,1500,1500,1500
763,763,2019-01-31,DET,DAL,33,86,0.384,24,53,0.453,9,33,0.273,18,23,0.783,93,36,88,0.409,29,63,0.46,7,25,0.28,10,14,0.714,89,108.13953488372093,101.13636363636364,1500,1500,1500
764,764,2019-01-31,GSW,PHI,41,88,0.466,30,50,0.6,11,38,0.289,11,16,0.688,104,41,88,0.466,29,51,0.569,12,37,0.324,19,24,0.792,113,118.1818181818182,128.4090909090909,1500,1500,1500
765,765,2019-01-31,LAC,LAL,46,104,0.442,32,61,0.525,14,43,0.326,14,26,0.538,120,42,92,0.457,31,66,0.47,11,26,0.423,28,35,0.8,123,115.38461538461536,133.69565217391303,1500,1500,1500
766,766,2019-01-31,ORL,IND,38,82,0.463,27,57,0.474,11,25,0.44,20,22,0.909,107,41,91,0.451,37,72,0.514,4,19,0.211,14,16,0.875,100,130.4878048780488,109.8901098901099,1500,1500,1500
767,767,2019-01-31,SAS,BRK,40,100,0.4,28,67,0.418,12,33,0.364,25,29,0.862,117,42,89,0.472,31,55,0.564,11,34,0.324,19,29,0.655,114,117.0,128.08988764044943,1500,1500,1500
